,Unnamed: 0.1,Unnamed: 0,projectID,projectAcronym,organisationID,vatNumber,name,shortName,SME,activityType,street,postCode,city,country,nutsCode,geolocation,organizationURL,contactForm,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation,active,diffContribution,continent,taxonomyObjective,biggest_key
559,9243,41911,101120726,dAIEDGE,999997930,FR40180089013,centre national de la recherche scientifique cnrs,CNRS,False,REC,RUE MICHEL ANGE 3,75794,Paris,FR,FR101,"48.84755265,2.26404020346787",http://www.cnrs.fr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999997930/101120726,2023-09-19 18:32:20,1905572,17,thirdParty,0.0,49348.75,49348.75,False,,0.0,EU,"artificial intelligence,next generation internet,advanced computing and big data,extended reality",advanced materials
560,9244,41912,101120726,dAIEDGE,999991334,BE0419052173,katholieke universiteit leuven,KU Leuven,False,HES,OUDE MARKT 13,3000,Leuven,BE,BE242,"50.8780592,4.699407640209",http://www.kuleuven.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991334/101120726,2023-09-19 18:32:20,1905910,14,participant,549875.0,549875.0,549875.0,False,,0.0,EU,"artificial intelligence,next generation internet,advanced computing and big data,extended reality",sustainability
561,9257,41974,101135932,FAITH,910945140,,sintef,SINTEF,False,REC,STRINDVEGEN 4,7034,Trondheim,NO,NO060,"63.4134536,10.4089353",http://www.sintef.no,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/910945140/101135932,2023-11-03 12:05:51,1944981,4,participant,910175.0,910175.0,910175.0,False,,0.0,EU,"artificial intelligence,robotics,healthcare,education,transport,industrial processes",sustainability
562,9265,41982,101135932,FAITH,999991334,BE0419052173,katholieke universiteit leuven,KU Leuven,False,HES,OUDE MARKT 13,3000,Leuven,BE,BE242,"50.8780592,4.699407640209",http://www.kuleuven.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991334/101135932,2023-11-03 12:05:51,1905910,13,participant,455000.0,455000.0,455000.0,False,,0.0,EU,"artificial intelligence,robotics,healthcare,education,transport,industrial processes",sustainability
563,9284,42248,101070162,ULTIMATE,999604110,ESG48975767,fundacion tecnalia research & innovation,TECNALIA,False,REC,"PARQUE CIENTIFICO Y TECNOLOGICO DE GIPUZKOA, PASEO MIKELETEGI 2",20009,DONOSTIA-SAN SEBASTIAN (GIPUZKOA),ES,ES212,"43.2916949,-2.885882",http://www.tecnalia.com,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999604110/101070162,2022-09-08 12:54:21,1905767,5,participant,365312.5,365312.5,365312.5,False,,0.0,EU,"artificial intelligence,robotics,space including earth observation",sustainability
564,9289,42253,101070162,ULTIMATE,999908205,FR62414725101,thales,THALES ALENIA SPACE FRANCE,False,PRC,AVENUE JEAN FRANCOIS CHAMPOLLION 26,31100,Toulouse,FR,FRJ23,"43.5476997,1.3941094",http://www.thalesaleniaspace.com,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999908205/101070162,2022-09-08 12:54:21,1907214,8,participant,402955.0,402955.0,402955.0,False,,0.0,EU,"artificial intelligence,robotics,space including earth observation",space
565,9290,42254,101070162,ULTIMATE,999751938,FR54552059024,thales,THALES,False,PRC,4 RUE DE LA VERRERIE,92190,MEUDON,FR,FR105,"48.8953328,2.2561602",http://www.thalesgroup.com,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999751938/101070162,2022-09-08 12:54:21,1909968,1,coordinator,975250.0,975250.0,975250.0,False,,0.0,EU,"artificial intelligence,robotics,space including earth observation",space
566,9330,42422,101091616,S34I,932760440,FI26473754,teknologian tutkimuskeskus vtt oy,VTT,False,REC,TEKNIIKANTIE 21,2150,Espoo,FI,FI1B1,"60.2051454,24.6569676",https://www.vtt.fi,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/932760440/101091616,2023-03-10 21:12:01,2104951,13,participant,342775.25,342775.25,342775.25,False,,0.0,EU,"space including earth observation,artificial intelligence,advanced computing and big data,circular industries",sustainability
567,9378,42705,101135523,SYMPHONY,999997930,FR40180089013,centre national de la recherche scientifique cnrs,CNRS,False,REC,RUE MICHEL ANGE 3,75794,Paris,FR,FR101,"48.84755265,2.26404020346787",http://www.cnrs.fr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999997930/101135523,2023-12-11 13:04:10,1905572,1,coordinator,639727.05,639727.05,639727.05,False,,0.0,EU,"manufacturing technologies,artificial intelligence,advanced materials,low carbon and clean industries,space including earth observation,internet of things",advanced materials
568,9390,42730,101070658,TITAN,932760440,FI26473754,teknologian tutkimuskeskus vtt oy,VTT,False,REC,TEKNIIKANTIE 21,2150,Espoo,FI,FI1B1,"60.2051454,24.6569676",https://www.vtt.fi,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/932760440/101070658,2022-09-04 13:03:43,2104951,10,participant,348065.0,348065.0,348065.0,False,,0.0,EU,"artificial intelligence,advanced computing and big data,next generation internet,blockchain",sustainability
569,9446,42898,101138153,GoldenRAM,932760440,FI26473754,teknologian tutkimuskeskus vtt oy,VTT,False,REC,TEKNIIKANTIE 21,2150,Espoo,FI,FI1B1,"60.2051454,24.6569676",https://www.vtt.fi,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/932760440/101138153,2024-01-08 20:32:13,2104951,1,coordinator,1516241.61,1516241.61,0.0,False,,,EU,"artificial intelligence,space including earth observation,advanced materials,5g,blockchain",sustainability
570,9471,43107,101093046,OpenSwarm,999981149,BE0425260668,interuniversitair micro-electronica centrum,IMEC,False,REC,KAPELDREEF 75,3001,Leuven,BE,BE242,"50.866704049999996,4.677742878392847",http://www.imec.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999981149/101093046,2022-11-28 13:28:34,1905930,3,participant,694000.0,694000.0,694000.0,False,,0.0,EU,"artificial intelligence,advanced computing and big data",advanced materials
571,9475,43111,101093046,OpenSwarm,999991334,BE0419052173,katholieke universiteit leuven,KU Leuven,False,HES,OUDE MARKT 13,3000,Leuven,BE,BE242,"50.8780592,4.699407640209",http://www.kuleuven.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991334/101093046,2022-11-28 13:28:34,1905910,5,participant,366200.0,366200.0,366200.0,False,,0.0,EU,"artificial intelligence,advanced computing and big data",sustainability
572,9508,43313,101092312,AIRISE,996541529,,sintef,SINTEF RM,False,REC,"BYGNING 100, RAUFOSS INDUSTRIPARK",2830,Raufoss,NO,NO020,"60.5000209,9.0999715",https://www.sintef.no/manufacturing,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/996541529/101092312,2023-01-19 16:43:39,1914650,9,participant,272406.25,272406.25,272406.25,False,,0.0,EU,"manufacturing technologies,artificial intelligence,robotics,advanced computing and big data,circular industries,low carbon and clean industries,extended reality",sustainability
